,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,300323.SZ,20211102,11.76,12.01,11.51,11.6,11.7,-0.1,-0.8547,148913.0,175649.648
1,300323.SZ,20211101,11.85,11.97,11.66,11.7,11.83,-0.13,-1.0989,139597.84,164655.92
2,300323.SZ,20211029,11.45,11.92,11.43,11.83,11.5,0.33,2.8696,116019.16,136459.222
3,300323.SZ,20211028,11.54,11.77,11.45,11.5,11.62,-0.12,-1.0327,107243.8,124363.298
4,300323.SZ,20211027,12.06,12.08,11.58,11.62,12.04,-0.42,-3.4884,151426.84,177884.563
5,300323.SZ,20211026,12.0,12.19,11.83,12.04,12.09,-0.05,-0.4136,132579.0,159038.46
6,300323.SZ,20211025,11.96,12.15,11.61,12.09,11.95,0.14,1.1715,128184.1,152903.446
7,300323.SZ,20211022,11.99,12.31,11.93,11.95,11.92,0.03,0.2517,202433.0,245591.227
8,300323.SZ,20211021,12.01,12.23,11.83,11.92,12.17,-0.25,-2.0542,181061.88,218028.904
9,300323.SZ,20211020,12.43,12.7,12.09,12.17,12.5,-0.33,-2.64,258141.72,315582.499
10,300323.SZ,20211019,12.93,13.49,12.47,12.5,13.08,-0.58,-4.4343,362694.0,465411.306
11,300323.SZ,20211018,13.01,13.37,12.85,13.08,13.21,-0.13,-0.9841,218853.96,285824.679
12,300323.SZ,20211015,12.98,13.52,12.9,13.21,13.11,0.1,0.7628,236757.0,313804.9
13,300323.SZ,20211014,13.05,13.59,12.97,13.11,13.13,-0.02,-0.1523,246849.96,327441.336
14,300323.SZ,20211013,12.82,13.25,12.68,13.13,12.88,0.25,1.941,251322.96,327093.36
15,300323.SZ,20211012,13.17,13.2,12.64,12.88,13.14,-0.26,-1.9787,278426.24,357790.683
16,300323.SZ,20211011,12.6,13.46,12.43,13.14,12.37,0.77,6.2247,462984.65,608297.658
17,300323.SZ,20211008,12.11,12.66,12.1,12.37,11.93,0.44,3.6882,179331.27,221722.188
18,300323.SZ,20210930,11.52,12.18,11.5,11.93,11.43,0.5,4.3745,107610.0,128111.059
19,300323.SZ,20210929,11.69,11.97,11.4,11.43,11.98,-0.55,-4.591,156887.4,182173.63
20,300323.SZ,20210928,12.11,12.4,11.95,11.98,12.26,-0.28,-2.2838,130349.25,157811.178
21,300323.SZ,20210927,12.48,12.73,12.18,12.26,12.47,-0.21,-1.684,178538.0,222315.583
22,300323.SZ,20210924,12.39,12.83,12.29,12.47,12.39,0.08,0.6457,212041.0,266713.312
23,300323.SZ,20210923,12.33,12.76,12.3,12.39,12.35,0.04,0.3239,187122.77,234498.778
24,300323.SZ,20210922,11.52,12.53,11.35,12.35,11.77,0.58,4.9278,213308.12,260950.022
25,300323.SZ,20210917,12.09,12.19,11.68,11.77,12.09,-0.32,-2.6468,120782.0,143686.871
26,300323.SZ,20210916,12.2,12.34,11.83,12.09,12.23,-0.14,-1.1447,160776.87,194391.09
27,300323.SZ,20210915,12.3,12.36,12.11,12.23,12.42,-0.19,-1.5298,139814.67,170926.84
28,300323.SZ,20210914,12.51,12.68,12.1,12.42,12.52,-0.1,-0.7987,220763.75,274686.086
29,300323.SZ,20210913,12.38,12.63,12.23,12.52,12.46,0.06,0.4815,191593.38,238012.753
30,300323.SZ,20210910,11.98,12.83,11.9,12.46,11.89,0.57,4.7939,337925.03,419553.571
31,300323.SZ,20210909,12.05,12.08,11.75,11.89,12.06,-0.17,-1.4096,130211.17,154259.603
32,300323.SZ,20210908,11.77,12.12,11.61,12.06,11.7,0.36,3.0769,220443.59,262600.913
33,300323.SZ,20210907,11.72,11.9,11.6,11.7,11.82,-0.12,-1.0152,121645.5,142410.384
34,300323.SZ,20210906,11.29,12.15,11.29,11.82,11.34,0.48,4.2328,211476.84,249584.669
35,300323.SZ,20210903,10.99,11.46,10.92,11.34,10.99,0.35,3.1847,184079.66,206675.935
36,300323.SZ,20210902,10.95,11.07,10.77,10.99,10.97,0.02,0.1823,134516.94,147373.527
37,300323.SZ,20210901,11.37,11.55,10.67,10.97,11.6,-0.63,-5.431,276713.94,306885.937
38,300323.SZ,20210831,12.23,12.23,11.27,11.6,12.25,-0.65,-5.3061,376980.59,438643.331
39,300323.SZ,20210830,11.64,12.35,11.62,12.25,12.21,0.04,0.3276,270957.94,326384.162
40,300323.SZ,20210827,11.88,12.21,11.68,12.21,11.89,0.32,2.6913,238300.3,286688.319
41,300323.SZ,20210826,12.46,12.5,11.84,11.89,12.36,-0.47,-3.8026,304440.0,370380.379
42,300323.SZ,20210825,12.69,12.88,12.23,12.36,12.75,-0.39,-3.0588,281732.0,349709.846
43,300323.SZ,20210824,13.07,13.17,12.56,12.75,13.18,-0.43,-3.2625,374746.5,481182.047
44,300323.SZ,20210823,12.82,13.38,12.81,13.18,13.09,0.09,0.6875,406475.85,535211.511
45,300323.SZ,20210820,12.95,13.37,12.79,13.09,12.94,0.15,1.1592,521749.58,684266.75
46,300323.SZ,20210819,12.5,13.12,12.01,12.94,12.56,0.38,3.0255,491409.92,628605.506
47,300323.SZ,20210818,12.34,13.09,12.34,12.56,12.41,0.15,1.2087,292591.53,372387.099
48,300323.SZ,20210817,13.01,13.16,12.34,12.41,13.19,-0.78,-5.9136,345597.75,438673.806
49,300323.SZ,20210816,12.57,13.5,12.39,13.19,12.56,0.63,5.0159,501875.27,653246.717
50,300323.SZ,20210813,12.91,12.94,12.4,12.56,12.67,-0.11,-0.8682,328383.6,416021.942
51,300323.SZ,20210812,12.37,12.96,12.35,12.67,12.5,0.17,1.36,355847.18,451052.879
52,300323.SZ,20210811,11.91,12.55,11.88,12.5,11.83,0.67,5.6636,398607.0,489219.436
53,300323.SZ,20210810,11.82,12.07,11.57,11.83,11.95,-0.12,-1.0042,254134.05,301182.201
54,300323.SZ,20210809,12.2,12.3,11.71,11.95,12.24,-0.29,-2.3693,283029.89,336823.176
55,300323.SZ,20210806,12.29,12.39,11.97,12.24,12.14,0.1,0.8237,315894.0,384416.583
56,300323.SZ,20210805,12.6,12.62,12.06,12.14,12.69,-0.55,-4.3341,429409.7,526881.543
57,300323.SZ,20210804,12.34,12.85,12.31,12.69,12.45,0.24,1.9277,432286.53,544308.069
58,300323.SZ,20210803,12.96,13.26,12.37,12.45,13.06,-0.61,-4.6708,589345.4,756044.966
59,300323.SZ,20210802,12.53,13.19,12.53,13.06,12.8,0.26,2.0313,661622.2,855511.498
60,300323.SZ,20210730,13.79,14.0,12.5,12.8,13.12,-0.32,-2.439,857728.51,1125089.542
61,300323.SZ,20210729,12.62,13.25,12.18,13.12,12.24,0.88,7.1895,794498.79,1008215.472
62,300323.SZ,20210728,12.25,12.64,10.78,12.24,12.97,-0.73,-5.6284,629676.26,763527.737
63,300323.SZ,20210727,13.0,13.72,12.5,12.97,12.96,0.01,0.0772,980333.25,1287854.863
64,300323.SZ,20210726,12.82,13.45,12.11,12.96,12.33,0.63,5.1095,934677.62,1192672.577
65,300323.SZ,20210723,12.7,12.94,12.18,12.33,13.0,-0.67,-5.1538,862406.78,1081779.667
66,300323.SZ,20210722,11.47,13.38,11.47,13.0,11.43,1.57,13.7358,1114761.72,1400588.473
67,300323.SZ,20210721,11.05,11.94,11.01,11.43,11.0,0.43,3.9091,892852.61,1026136.004
68,300323.SZ,20210720,10.24,11.09,10.21,11.0,10.4,0.6,5.7692,388831.09,415815.015
69,300323.SZ,20210719,10.14,10.45,10.06,10.4,10.19,0.21,2.0608,137678.38,142357.489
70,300323.SZ,20210716,10.26,10.44,10.15,10.19,10.25,-0.06,-0.5854,162201.0,166710.532
71,300323.SZ,20210715,10.72,10.79,10.2,10.25,10.72,-0.47,-4.3843,256928.0,266160.158
72,300323.SZ,20210714,10.71,10.92,10.65,10.72,10.8,-0.08,-0.7407,166899.29,179559.018
73,300323.SZ,20210713,11.36,11.36,10.75,10.8,11.32,-0.52,-4.5936,311951.58,341201.462
74,300323.SZ,20210712,11.2,11.32,10.94,11.32,11.18,0.14,1.2522,313861.23,350672.708
75,300323.SZ,20210709,11.46,11.56,11.1,11.18,11.47,-0.29,-2.5283,281905.37,317107.769
76,300323.SZ,20210708,11.38,11.54,11.18,11.47,11.38,0.09,0.7909,378534.77,430655.307
77,300323.SZ,20210707,11.25,11.45,11.02,11.38,11.41,-0.03,-0.2629,326327.61,368242.16
78,300323.SZ,20210706,11.09,11.65,10.91,11.41,10.94,0.47,4.2962,535841.44,607251.741
79,300323.SZ,20210705,10.9,11.09,10.62,10.94,10.59,0.35,3.305,263015.33,285727.614
80,300323.SZ,20210702,10.59,10.9,10.35,10.59,10.57,0.02,0.1892,232535.17,247427.064
81,300323.SZ,20210701,11.12,11.14,10.56,10.57,11.0,-0.43,-3.9091,280695.0,304019.432
82,300323.SZ,20210630,10.41,11.31,10.39,11.0,10.35,0.65,6.2802,396720.49,433558.37
83,300323.SZ,20210629,10.9,10.9,10.32,10.35,11.09,-0.74,-6.6727,392358.5,414754.338
84,300323.SZ,20210628,11.22,11.44,11.02,11.09,11.17,-0.08,-0.7162,297740.42,334101.975
85,300323.SZ,20210625,11.5,11.53,11.0,11.17,11.54,-0.37,-3.2062,373774.84,418688.392
86,300323.SZ,20210624,11.0,11.81,10.85,11.54,11.03,0.51,4.6238,581474.94,662685.379
87,300323.SZ,20210623,10.72,11.22,10.7,11.03,10.86,0.17,1.5654,400701.69,442116.285
